SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
162.16,14.45,0.554,64.65,0.176,0.688,9.402,303.08,250.0,2.703,45.608
476.83,13.67,0.509,55.35,0.294,0.32,8.004,288.61,8.59,1.475,70.82
130.32,19.05,0.596,77.12,0.211,0.505,6.783,309.66,135.21,2.889,64.703
143.8,21.51,0.536,63.89,0.317,0.573,5.857,305.01,190.54,3.145,70.539
185.08,19.15,0.659,33.74,0.162,0.539,8.787,296.2,74.2,2.773,42.592
304.5,17.04,0.515,63.34,0.442,0.282,8.286,298.45,36.01,4.046,63.328
354.51,13.15,0.553,65.59,0.352,0.622,6.44,290.54,54.05,0.611,82.524
232.73,17.28,0.57,36.35,0.348,0.398,7.194,309.43,132.32,0.542,78.594
190.12,14.74,0.489,49.82,0.411,0.217,10.0,283.93,39.06,1.915,36.952
284.2,15.72,0.544,59.82,0.401,0.733,6.668,294.28,55.46,0.565,82.603
176.63,15.12,0.6,27.07,0.086,0.245,4.87,299.74,194.42,1.11,49.91
305.52,13.1,0.334,41.47,0.317,0.549,5.679,300.86,79.17,4.422,84.949
73.12,21.5,0.603,51.79,0.21,0.327,7.707,294.8,21.9,2.616,39.332
389.44,16.05,0.492,52.97,0.438,0.562,10.0,306.84,127.1,2.448,74.751
243.98,21.67,0.29,78.26,0.216,0.238,6.83,298.51,151.33,2.073,76.195
166.81,15.24,0.555,47.36,0.275,0.28,3.301,297.94,217.67,4.032,39.778
266.56,14.77,0.567,63.21,0.169,0.398,5.637,306.17,167.05,1.53,69.783
194.36,21.62,0.61,62.77,0.227,0.413,5.382,303.34,250.0,1.703,69.19
131.98,20.26,0.618,55.57,0.199,0.406,6.572,302.26,32.44,2.811,53.786
35.58,20.27,0.637,27.68,0.096,0.842,4.282,293.54,121.57,1.21,31.414
253.2,19.37,0.556,40.74,0.324,0.248,7.268,305.85,127.73,3.148,77.544
119.11,22.68,0.445,64.31,0.339,0.586,7.983,292.16,157.14,0.467,57.958
288.53,16.58,0.424,41.45,0.183,0.164,8.911,288.88,51.73,1.144,49.418
130.04,23.22,0.458,46.34,0.148,0.598,5.722,288.86,92.64,3.919,60.174
184.72,21.09,0.515,70.06,0.141,0.585,10.0,301.37,60.01,8.137,30.204
618.81,11.2,0.349,41.03,0.272,0.485,7.744,304.3,7.84,1.0,92.684
156.46,22.53,0.534,62.2,0.245,0.85,3.623,293.52,88.09,4.477,33.123
166.98,17.18,0.697,52.76,0.099,0.346,6.49,296.46,53.72,2.193,55.641
1000.0,7.0,0.244,56.21,0.251,0.1,7.251,304.51,44.81,1.884,106.491
312.81,14.07,0.577,43.49,0.05,0.382,5.378,306.65,66.2,1.57,63.626
131.04,23.89,0.602,59.08,0.282,0.499,5.399,306.93,50.01,1.908,52.067
625.14,18.42,0.573,73.3,0.374,0.496,3.739,297.44,48.68,1.542,79.719
51.27,21.12,0.461,74.87,0.355,0.497,9.616,293.66,115.44,2.849,33.393
119.03,22.3,0.556,58.82,0.056,0.516,3.426,304.49,53.37,6.493,21.314
113.73,18.17,0.508,54.48,0.266,0.303,4.988,290.27,45.97,1.95,46.884
190.6,18.35,0.468,76.68,0.05,0.595,7.187,307.03,250.0,2.423,55.536
82.28,18.94,0.494,64.34,0.385,0.578,8.199,303.79,250.0,1.666,54.484
40.75,15.53,0.459,81.32,0.427,0.346,4.543,296.75,112.16,1.37,40.101
437.62,12.06,0.589,70.02,0.116,0.336,8.023,303.05,176.62,0.865,86.607
132.36,20.84,0.527,70.84,0.223,0.416,6.321,303.82,89.53,2.234,63.828
175.26,18.88,0.682,38.32,0.33,0.499,4.554,296.37,50.66,7.169,43.812
404.09,17.34,0.405,85.0,0.291,0.19,7.116,300.42,16.18,5.434,72.851
1000.0,12.21,0.227,71.52,0.195,0.1,5.463,299.85,128.38,1.226,106.911
92.67,21.92,0.454,43.75,0.276,0.77,4.066,301.92,63.93,0.638,39.237
222.26,14.9,0.476,58.16,0.322,0.459,7.272,298.17,40.08,1.373,63.324
123.47,16.44,0.49,66.74,0.347,0.489,7.304,296.63,125.28,1.832,63.267
170.71,19.18,0.482,49.6,0.165,0.824,4.657,301.4,149.54,0.732,55.772
108.94,16.88,0.676,58.48,0.13,0.528,5.394,303.19,55.16,1.443,47.296
79.31,19.97,0.583,26.57,0.227,0.612,4.873,298.08,221.0,2.703,47.996
187.69,18.48,0.603,66.73,0.083,0.361,5.504,289.73,55.06,2.618,49.116
149.71,18.25,0.615,49.35,0.424,0.318,4.717,310.01,66.7,1.482,59.726
300.77,14.78,0.65,55.92,0.215,0.554,2.342,308.21,31.39,3.357,43.369
47.25,23.5,0.378,45.26,0.404,0.134,6.471,288.99,39.86,2.5,53.388
145.62,22.64,0.579,47.34,0.289,0.431,7.832,312.04,12.47,1.38,45.52
1000.0,9.05,0.342,74.66,0.356,0.698,6.776,287.13,92.7,2.549,116.359
179.15,19.88,0.657,74.86,0.438,0.508,4.885,299.26,245.05,1.882,63.886
146.81,14.0,0.628,59.96,0.251,0.445,7.569,306.73,39.56,2.431,56.209
163.82,21.78,0.716,61.85,0.079,0.379,6.116,297.73,25.67,8.862,49.752
510.36,13.42,0.206,47.76,0.65,0.356,3.992,304.19,206.92,3.292,103.048
257.81,24.84,0.453,49.49,0.368,0.611,6.144,291.65,91.24,0.862,80.548
110.43,21.48,0.672,47.49,0.249,0.741,6.265,287.11,18.15,2.315,44.367
449.12,16.43,0.458,49.12,0.246,0.51,6.623,294.08,104.72,4.112,95.969
244.35,16.08,0.492,40.02,0.393,0.317,6.137,304.73,118.87,1.612,84.368
167.87,19.6,0.461,71.92,0.188,0.423,6.794,299.91,18.12,3.151,47.422
654.69,20.08,0.435,49.87,0.333,0.183,4.186,297.38,138.25,2.41,92.172
162.87,22.9,0.581,73.48,0.375,0.611,8.69,312.11,72.68,0.578,46.536
112.7,27.37,0.534,62.08,0.349,0.206,3.105,298.72,43.31,1.901,30.255
89.86,20.88,0.669,64.79,0.36,0.597,8.242,288.69,23.96,1.862,37.75
166.72,21.55,0.56,51.61,0.238,0.522,4.432,301.88,22.98,4.187,35.038
220.53,18.03,0.576,56.52,0.297,0.507,4.835,296.01,68.96,0.877,62.916
209.62,20.02,0.599,80.46,0.223,0.439,10.0,292.37,68.96,1.806,36.226
361.58,14.79,0.613,59.37,0.191,0.374,9.23,302.61,24.03,1.983,53.016
292.94,17.82,0.441,53.43,0.16,0.568,8.623,298.8,13.89,2.128,45.513
226.79,21.87,0.455,45.71,0.115,0.311,6.093,304.23,250.0,3.723,72.05
236.35,15.4,0.67,45.74,0.292,0.311,7.366,297.77,84.92,1.691,73.864
348.0,16.99,0.388,70.89,0.106,0.549,6.495,303.87,38.04,1.562,82.705
78.96,20.88,0.612,60.23,0.444,0.429,3.291,299.5,14.51,2.967,27.428
441.57,11.43,0.42,60.68,0.449,0.567,4.616,289.2,70.44,2.499,82.823
64.55,23.93,0.593,46.83,0.399,0.515,9.159,306.86,250.0,1.087,50.242
120.96,15.35,0.556,25.0,0.394,0.329,7.349,299.48,14.98,1.965,53.488
123.32,19.18,0.599,29.93,0.322,0.439,7.033,305.43,83.18,0.902,61.963
106.92,18.67,0.675,47.95,0.341,0.427,4.88,289.46,80.42,1.465,47.086
173.26,17.06,0.6,69.88,0.269,0.327,8.356,302.95,250.0,2.651,54.084
