Adsorbent,Pollutant,SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,10.68075117
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,7.981220657
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,5.907668232
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,5.017605634
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,0.8,6.103286385
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,9.507042254
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,8.568075117
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,2.777777778
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,4.137323944
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,0.8,8.450704225
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,7.746478873
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,7.687793427
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,5.125195618
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,4.430751174
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,0.8,7.692307692
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,8.14479638
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,6.561085973
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,5.354449472
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,4.524886878
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,0.8,7.239819005
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,7.918552036
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,7.239819005
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,5.957767722
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,4.751131222
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,0.8,5.429864253
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,1.6,6.787330317
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,3.2,6.900452489
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,4.8,5.80693816
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1.0,6.4,4.807692308
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,13.93289842
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,11.16029823
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,8.492544268
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.529527559
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,6.4,5.585629921
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,12.53494874
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,14.18918919
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,8.376048462
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.037401575
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,6.4,5.585629921
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,16.72879776
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,11.62628145
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,8.830382106
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.20144357
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,6.4,5.524114173
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,19.27168576
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,17.40998363
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,10.75081833
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.712765957
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,6.4,5.835720131
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,24.18166939
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,16.18248773
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,10.34165303
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.780960175
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,6.4,5.579991817
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,0.8,19.68085106
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,1.6,18.22831424
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,3.2,10.2393617
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1.0,4.8,7.64457174
